,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
4435,NA,Mobile Marketing,"1,085",70,"£50,000",-4.76%,22 (0.015%),3
4436,NA,Robotic Automation,"1,085",91,"£57,500",-24.59%,22 (0.015%),2
4437,NA,Application Discovery,"1,085",63,"£37,500",1.35%,22 (0.015%),10
4438,NA,Principle of Least Privilege,"1,085",100,"£37,500",-21.05%,22 (0.015%),2
4439,NA,NCIE,"1,085",92,"£50,000",11.11%,22 (0.015%),5
4440,NA,CCAA,"1,085",91,"£43,250",-13.50%,22 (0.015%),2
4441,NA,POSIX,"1,085",57,"£71,250",42.50%,22 (0.015%),8
4442,NA,Oracle ADF,"1,085",82,"£45,000",-25.00%,22 (0.015%),6
4443,NA,JNDI,"1,085",86,"£80,000",86.04%,22 (0.015%),NA
4444,NA,Samza,"1,085",54,"£77,500",3.33%,22 (0.015%),6
4445,NA,LSMW,"1,085",-73,"£52,500",23.52%,22 (0.015%),4
4446,NA,DbUnit,"1,085",92,"£60,000",-,22 (0.015%),9
4447,NA,CF BOSH,"1,085",77,"£75,000",-9.09%,22 (0.015%),10
4448,NA,Chip and PIN,"1,085",75,"£49,250",-10.45%,22 (0.015%),1
4449,NA,SCORM,"1,085",72,"£35,000",-,22 (0.015%),5
4450,NA,Raspberry Pi,"1,085",62,"£50,000",17.64%,22 (0.015%),18
4451,NA,Infotainment,"1,085",56,"£51,250",17.81%,22 (0.015%),2
4452,NA,SDL Web 8,"1,085",94,"£53,000",100.37%,22 (0.015%),6
4453,NA,Summit,"1,085",80,"£75,000",7.14%,22 (0.015%),4
4454,NA,Exstream,"1,085",87,"£45,000",-7.69%,22 (0.015%),2
4455,NA,iTrent,"1,085",79,"£58,750",23.68%,22 (0.015%),16
4456,NA,Veritas Cluster Server,"1,085",80,"£66,500",-24.00%,22 (0.015%),NA
4457,NA,Time Sharing Option,"1,085",91,"£50,000",16.95%,22 (0.015%),5
4458,NA,Change Management Consultant,"1,085",74,"£70,000",-41.66%,22 (0.015%),NA
4459,NA,SAP BW Consultant,"1,085",48,"£77,500",34.78%,22 (0.015%),4
4460,NA,SAP Basis Consultant,"1,085",48,"£49,000",-8.83%,22 (0.015%),NA
4461,NA,Desktop Support Technician,"1,085",37,"£25,500",2.00%,22 (0.015%),5
4462,NA,IT Sales Executive,"1,085",64,"£35,000",-5.40%,22 (0.015%),6
4463,NA,J2EE Software Engineer,"1,085",-24,"£100,000",63.26%,22 (0.015%),4
4464,NA,Server Support Technician,"1,085",100,"£22,500",2.27%,22 (0.015%),1
4465,NA,Service Management Consultant,"1,085",40,"£30,000",9.09%,22 (0.015%),1
4466,NA,Network Project Manager,"1,085",77,"£47,500",-9.52%,22 (0.015%),4
4467,NA,Desktop Support Team Leader,"1,085",62,"£40,000",8.10%,22 (0.015%),NA
4468,NA,Senior Network Support,"1,085",60,"£56,250",35.54%,22 (0.015%),2
4469,NA,Senior Oracle Analyst,"1,085",85,"£65,000",6.12%,22 (0.015%),NA
4470,NA,Senior Java Consultant,"1,085",93,"£62,500",-3.84%,22 (0.015%),1
4471,NA,Linux Consultant,"1,085",44,"£52,500",16.66%,22 (0.015%),11
4472,NA,Web Support Analyst,"1,085",80,"£26,000",-20.00%,22 (0.015%),1
4473,NA,Project Assistant,"1,085",97,"£19,000",-41.53%,22 (0.015%),2
4474,NA,Technical Design Authority,"1,085",62,"£75,000",36.36%,22 (0.015%),1
4475,NA,Desktop Technician,"1,085",34,"£25,500",-,22 (0.015%),5
4476,NA,CSS Developer,"1,085",90,"£72,500",123.07%,22 (0.015%),2
4477,NA,Graduate Data Analyst,"1,085",66,"£26,750",7.00%,22 (0.015%),2
4478,NA,Cisco Security Architect,"1,085",94,"£77,500",10.71%,22 (0.015%),6
4479,NA,Server Technician,"1,085",94,"£22,500",2.27%,22 (0.015%),3
4480,NA,Senior Software Development Engineer,"1,085",77,"£72,500",34.88%,22 (0.015%),6
4481,NA,Network Services Manager,"1,085",53,"£60,000",9.09%,22 (0.015%),2
4482,NA,Microsoft Specialist,"1,085",89,"£42,500",-5.55%,22 (0.015%),6
4483,NA,Infrastructure Services Project Manager,"1,085",85,"£60,000",-15.78%,22 (0.015%),2
4484,NA,PPC Executive,"1,085",76,"£25,000",-9.09%,22 (0.015%),3
4485,NA,FX Business Analyst,"1,085",93,"£85,000",13.33%,22 (0.015%),2
4486,NA,Cognos BI Developer,"1,085",64,"£53,000",0.95%,22 (0.015%),4
4487,NA,Head of IT Security,"1,085",62,"£90,000",-5.26%,22 (0.015%),2
4488,NA,Build and Release Engineer,"1,085",83,"£53,750",7.50%,22 (0.015%),4
4489,NA,Systems Monitoring Engineer,"1,085",96,"£57,500",15.00%,22 (0.015%),3
4490,NA,Senior IT Business Analyst,"1,085",76,"£51,000",-7.27%,22 (0.015%),3
4491,NA,Report Specialist,"1,085",92,"£45,000",-10.00%,22 (0.015%),4
4492,NA,Security Auditor,"1,085",72,"£42,500",-15.00%,22 (0.015%),4
4493,NA,Senior Linux Systems Engineer,"1,085",53,"£60,000",-11.11%,22 (0.015%),5
4494,NA,SAP FI/CO Support,"1,085",77,"£45,000",5.88%,22 (0.015%),2
4495,NA,SAP CO Support,"1,085",77,"£45,000",5.88%,22 (0.015%),2
4496,NA,E-Commerce Support,"1,085",77,"£40,000",56.86%,22 (0.015%),NA
4497,NA,Migration Specialist,"1,085",70,"£37,500",-16.66%,22 (0.015%),1
4498,NA,ITIL Service Delivery Manager,"1,085",40,"£57,500",15.00%,22 (0.015%),NA
4499,NA,Windows Infrastructure Specialist,"1,085",97,"£60,000",60.00%,22 (0.015%),4
4500,NA,Head of Business Systems,"1,085",90,"£68,500",-16.96%,22 (0.015%),1
4501,NA,CISSP Engineer,"1,085",98,"£75,000",25.00%,22 (0.015%),1
4502,NA,Telecoms Architect,"1,085",67,"£55,000",-32.51%,22 (0.015%),5
4503,NA,SAP Financial Analyst,"1,085",75,"£42,500",-17.47%,22 (0.015%),1
4504,NA,Application Integration Engineer,"1,085",102,"£52,500",-44.73%,22 (0.015%),NA
4505,NA,Graduate IT Engineer,"1,085",91,"£25,000",14.94%,22 (0.015%),2
4506,NA,Senior Audit Manager,"1,085",96,"£80,000",3.22%,22 (0.015%),NA
4507,NA,Site Manager,"1,085",91,"£47,500",-44.11%,22 (0.015%),27
4508,NA,Logistics Analyst,"1,085",58,"£45,000",-,22 (0.015%),3
4509,NA,UI Architect,"1,085",94,"£97,500",62.50%,22 (0.015%),9
4510,NA,JIRA Engineer,"1,085",81,"£36,500",-16.57%,22 (0.015%),5
4511,NA,Data Science Analyst,"1,085",86,"£45,000",-25.00%,22 (0.015%),1
4512,NA,Service Desk Agent,"1,085",93,"£24,500",19.51%,22 (0.015%),1
4513,NA,SaaS Project Manager,"1,085",54,"£63,750",41.66%,22 (0.015%),2
4514,NA,Unix Infrastructure Engineer,"1,085",75,"£67,500",22.72%,22 (0.015%),2
4515,NA,ArcSight ESM,"1,085",97,"£55,000",-10.20%,22 (0.015%),2
4516,NA,Loggly,"1,085",91,"£70,000",-16.41%,22 (0.015%),6
4517,NA,CATIA,"1,086",79,"£46,600",13.65%,21 (0.014%),26
4518,NA,Alias,"1,086",12,"£47,500",31.94%,21 (0.014%),2
4519,NA,IBM Sterling,"1,086",76,"£62,500",-24.24%,21 (0.014%),NA
4520,NA,Mentor Graphics,"1,086",93,"£40,000",-23.80%,21 (0.014%),14
4521,NA,Comptel,"1,086",-,"£44,000",-,21 (0.014%),NA
4522,NA,Proofpoint,"1,086",79,"£44,500",-11.00%,21 (0.014%),8
4523,NA,Sonus,"1,086",64,"£65,000",23.80%,21 (0.014%),2
4524,NA,EDMS,"1,086",91,"£43,000",-21.81%,21 (0.014%),7
4525,NA,Cognos Transformer,"1,086",94,"£45,000",-10.00%,21 (0.014%),4
4526,NA,HOOD,"1,086",78,"£37,500",-50.00%,21 (0.014%),NA
4527,NA,Online Security,"1,086",83,"£50,000",-8.67%,21 (0.014%),2
4528,NA,Social Media Marketing,"1,086",59,"£30,000",-7.69%,21 (0.014%),10
4529,NA,Source to Pay,"1,086",75,"£60,000",9.09%,21 (0.014%),2
4530,NA,Behavioural Analysis,"1,086",59,"£41,500",-30.83%,21 (0.014%),6
4531,NA,WAAS,"1,086",96,"£70,000",-1.75%,21 (0.014%),1
4532,NA,FWSM,"1,086",68,"£57,500",-0.86%,21 (0.014%),2
4533,NA,RS-422,"1,086",99,"£50,000",25.00%,21 (0.014%),7
4534,NA,PgMP,"1,086",91,"£87,500",25.00%,21 (0.014%),NA
4535,NA,AWT,"1,086",82,"£55,000",22.22%,21 (0.014%),2
4536,NA,XML Messaging,"1,086",42,"£42,500",-22.72%,21 (0.014%),5
4537,NA,JNI,"1,086",73,"£55,000",22.22%,21 (0.014%),27
4538,NA,jBPM,"1,086",45,"£54,000",2.85%,21 (0.014%),5
4539,NA,OpenSceneGraph,"1,086",101,-,-,21 (0.014%),NA
4540,NA,Direct3D,"1,086",89,"£60,000",-,21 (0.014%),6
4541,NA,HHVM,"1,086",100,"£35,000",-56.92%,21 (0.014%),NA
4542,NA,NativeScript,"1,086",70,"£42,500",-15.00%,21 (0.014%),11
4543,NA,Firebug,"1,086",93,"£45,000",29.92%,21 (0.014%),1
4544,NA,Katalon Studio,"1,086",99,"£40,000",-4.76%,21 (0.014%),5
4545,NA,STB,"1,086",37,"£57,500",27.77%,21 (0.014%),15
4546,NA,Siebel CRM,"1,086",84,"£47,500",-13.63%,21 (0.014%),NA
4547,NA,Oracle Applications Developer,"1,086",85,"£45,000",20.00%,21 (0.014%),3
4548,NA,Legal IT Trainer,"1,086",71,"£50,000",11.11%,21 (0.014%),1
4549,NA,Messaging Specialist,"1,086",70,"£42,500",-19.04%,21 (0.014%),3
4550,NA,Credit Risk Business Analyst,"1,086",92,"£75,000",7.14%,21 (0.014%),1
4551,NA,Products Support Engineer,"1,086",58,"£34,250",-2.14%,21 (0.014%),2
4552,NA,Security Administrator,"1,086",24,"£36,000",-20.00%,21 (0.014%),12
4553,NA,IT Finance Manager,"1,086",68,"£80,000",6.66%,21 (0.014%),NA
4554,NA,DB2 DBA,"1,086",96,"£57,080",-8.67%,21 (0.014%),NA
4555,NA,Python Programmer,"1,086",77,"£50,000",-16.66%,21 (0.014%),2
4556,NA,Integration Project Manager,"1,086",86,"£57,500",4.54%,21 (0.014%),3
4557,NA,Senior Software Test Analyst,"1,086",95,"£52,500",8.24%,21 (0.014%),NA
4558,NA,SEO Specialist,"1,086",77,"£35,000",16.66%,21 (0.014%),4
4559,NA,Strategy Analyst,"1,086",72,"£38,500",-14.44%,21 (0.014%),2
4560,NA,Senior SharePoint Developer,"1,086",68,"£50,000",-7.17%,21 (0.014%),6
4561,NA,Web Marketing Manager,"1,086",98,"£85,000",100.00%,21 (0.014%),NA
4562,NA,Head of Service Management,"1,086",75,"£87,500",34.61%,21 (0.014%),2
4563,NA,Audit Analyst,"1,086",68,"£40,000",-27.27%,21 (0.014%),3
4564,NA,Senior Firmware Engineer,"1,086",67,"£50,000",-4.76%,21 (0.014%),10
4565,NA,SAP Functional Analyst,"1,086",81,"£56,250",9.75%,21 (0.014%),NA
4566,NA,Junior Software Tester,"1,086",66,"£25,000",-9.09%,21 (0.014%),1
4567,NA,Senior Test Consultant,"1,086",62,"£51,000",-2.85%,21 (0.014%),1
4568,NA,Testing Manager,"1,086",58,"£85,000",94.28%,21 (0.014%),3
4569,NA,Mid-Level PHP Developer,"1,086",39,"£40,000",23.07%,21 (0.014%),4
4570,NA,Java Games Developer,"1,086",40,"£50,000",-25.92%,21 (0.014%),13
4571,NA,Defect Manager,"1,086",93,-,-,21 (0.014%),NA
4572,NA,Technical Operations Analyst,"1,086",85,"£39,325",10.77%,21 (0.014%),1
4573,NA,Master Data Analyst,"1,086",70,"£55,000",83.33%,21 (0.014%),NA
4574,NA,Risk Project Manager,"1,086",77,"£101,250",62.00%,21 (0.014%),1
4575,NA,Junior UX Designer,"1,086",74,"£27,500",22.22%,21 (0.014%),3
4576,NA,Java E-Commerce Developer,"1,086",-17,"£60,000",-7.69%,21 (0.014%),1
4577,NA,Machine Learning Analyst,"1,086",95,"£57,500",27.77%,21 (0.014%),1
4578,NA,Test Scripter,"1,086",96,"£52,500",5.00%,21 (0.014%),2
4579,NA,2nd/3rd Line Technical Support,"1,086",80,"£31,500",-10.00%,21 (0.014%),NA
4580,NA,ITIL Service Desk Analyst,"1,086",60,"£23,500",-26.56%,21 (0.014%),NA
4581,NA,Juniper Support,"1,086",92,"£32,500",-18.75%,21 (0.014%),1
4582,NA,Derivatives Business Analyst,"1,086",92,"£82,500",17.85%,21 (0.014%),NA
4583,NA,C# Quant Developer,"1,086",85,"£95,000",-5.00%,21 (0.014%),1
4584,NA,Forensic Manager,"1,086",96,"£31,371",-48.57%,21 (0.014%),2
4585,NA,Graduate C++ Software Engineer,"1,086",-28,"£28,000",-6.66%,21 (0.014%),15
4586,NA,Server Consultant,"1,086",64,"£60,000",1.69%,21 (0.014%),1
4587,NA,Java J2EE Software Engineer,"1,086",-17,"£100,000",66.66%,21 (0.014%),4
4588,NA,Google Analytics Analyst,"1,086",69,"£43,750",25.00%,21 (0.014%),6
4589,NA,Technical Service Delivery Manager,"1,086",84,"£50,000",-5.66%,21 (0.014%),11
4590,NA,Systems Administration Leader,"1,086",78,"£57,500",-4.16%,21 (0.014%),NA
4591,NA,Lead Infrastructure Architect,"1,086",82,"£107,500",20.78%,21 (0.014%),6
4592,NA,PHP Developer - Fintech,"1,086",78,"£40,000",-42.85%,21 (0.014%),3
4593,NA,Junior Infrastructure Engineer,"1,086",68,"£32,500",-,21 (0.014%),4
4594,NA,HP SIM,"1,086",82,"£48,000",3.78%,21 (0.014%),1
4595,NA,AWS Data Pipeline,"1,086",97,"£100,000",-4.76%,21 (0.014%),4
4596,NA,BPaaS,"1,086",98,"£77,500",-31.11%,21 (0.014%),7
4597,NA,MicroStation,"1,087",99,"£25,383",-21.89%,20 (0.013%),6
4598,NA,CQG,"1,087",86,"£56,250",-15.09%,20 (0.013%),NA
4599,NA,DoubleClick,"1,087",58,"£42,500",41.66%,20 (0.013%),8
4600,NA,Zoho,"1,087",92,"£32,500",18.18%,20 (0.013%),3
4601,NA,StreamBase,"1,087",70,"£95,000",5.55%,20 (0.013%),NA
4602,NA,Centrify,"1,087",84,"£65,750",121.00%,20 (0.013%),6
4603,NA,Yellowfin,"1,087",93,"£63,750",70.00%,20 (0.013%),4
4604,NA,Apache Ignite,"1,087",81,"£80,000",14.28%,20 (0.013%),5
4605,NA,Fit Analysis,"1,087",85,"£40,000",-44.82%,20 (0.013%),NA
4606,NA,Stochastic Calculus,"1,087",76,"£75,750",-10.88%,20 (0.013%),NA
4607,NA,Linear Programming,"1,087",-,"£72,500",-,20 (0.013%),3
4608,NA,Guerrilla Testing,"1,087",83,"£50,000",17.64%,20 (0.013%),6
4609,NA,Innovation Management,"1,087",88,"£85,000",58.87%,20 (0.013%),1
4610,NA,Discrete Manufacturing,"1,087",68,"£57,500",-14.81%,20 (0.013%),NA
4611,NA,Remarketing,"1,087",79,"£41,250",28.90%,20 (0.013%),3
4612,NA,Bimodal,"1,087",62,"£60,000",14.28%,20 (0.013%),NA
4613,NA,Naive Bayes,"1,087",81,"£80,000",6.66%,20 (0.013%),2
4614,NA,GPRS,"1,087",59,"£50,000",-13.04%,20 (0.013%),10
4615,NA,TETRA,"1,087",83,"£36,500",-2.66%,20 (0.013%),5
4616,NA,Link 16,"1,087",-,-,-,20 (0.013%),NA
4617,NA,Link 22,"1,087",-,-,-,20 (0.013%),NA
4618,NA,Tactical Data Link,"1,087",100,-,-,20 (0.013%),4
4619,NA,CCNP Voice,"1,087",53,"£62,500",4.16%,20 (0.013%),NA
4620,NA,COSO,"1,087",80,"£75,000",3.44%,20 (0.013%),6
4621,NA,TARGET2,"1,087",89,"£75,000",-6.25%,20 (0.013%),NA
4622,NA,MISRA C,"1,087",66,"£45,000",-10.00%,20 (0.013%),17
4623,NA,SAS 70,"1,087",88,"£75,000",36.36%,20 (0.013%),NA
4624,NA,LINQ to SQL,"1,087",14,"£50,000",11.11%,20 (0.013%),19
4625,NA,Mustache,"1,087",81,"£60,000",9.09%,20 (0.013%),8
4626,NA,jOOQ,"1,087",90,"£65,000",30.00%,20 (0.013%),3
4627,NA,Preactjs,"1,087",98,"£70,000",27.27%,20 (0.013%),5
4628,NA,UI Automator,"1,087",93,"£65,000",4.00%,20 (0.013%),3
4629,NA,IDA Disassembler,"1,087",84,"£53,750",-10.41%,20 (0.013%),4
4630,NA,Music Streaming,"1,087",56,"£45,000",-5.26%,20 (0.013%),2
4631,NA,Eurex,"1,087",68,"£56,250",-16.66%,20 (0.013%),NA
4632,NA,Lawson,"1,087",90,"£60,000",50.00%,20 (0.013%),5
4633,NA,SAP Business ByDesign,"1,087",58,"£75,000",66.66%,20 (0.013%),8
4634,NA,Project Planner,"1,087",81,"£45,000",16.88%,20 (0.013%),5
4635,NA,Citrix Consultant,"1,087",81,"£52,500",-4.54%,20 (0.013%),3
4636,NA,Senior IT Auditor,"1,087",72,"£56,500",-5.83%,20 (0.013%),2
4637,NA,Database Team Leader,"1,087",88,"£70,000",27.27%,20 (0.013%),1
4638,NA,Web Administrator,"1,087",57,"£30,033",-14.19%,20 (0.013%),6
4639,NA,Server Administrator,"1,087",33,"£40,000",10.34%,20 (0.013%),8
4640,NA,SAP Programme Manager,"1,087",80,"£95,000",-5.00%,20 (0.013%),2
4641,NA,IT Strategy Consultant,"1,087",86,"£75,000",-,20 (0.013%),5
4642,NA,Oracle Team Leader,"1,087",84,"£75,000",50.00%,20 (0.013%),3
4643,NA,Senior Quality Engineer,"1,087",81,"£58,750",52.59%,20 (0.013%),6
4644,NA,Client Relationship Manager,"1,087",88,"£52,500",10.52%,20 (0.013%),2
4645,NA,Oracle Data Warehouse Developer,"1,087",67,"£66,250",44.02%,20 (0.013%),2
4646,NA,Senior Oracle Financials Developer,"1,087",100,"£55,000",10.00%,20 (0.013%),NA
4647,NA,Senior .NET Web Developer,"1,087",25,"£60,000",26.31%,20 (0.013%),9
4648,NA,Oracle Project Manager,"1,087",68,"£90,000",38.46%,20 (0.013%),5
4649,NA,Senior VB.NET Developer,"1,087",66,"£55,000",29.41%,20 (0.013%),6
4650,NA,COBOL Developer,"1,087",77,"£39,000",-3.70%,20 (0.013%),7
4651,NA,ETL Consultant,"1,087",65,"£45,000",-36.84%,20 (0.013%),2
4652,NA,Technical Services Analyst,"1,087",60,"£39,164",26.33%,20 (0.013%),3
4653,NA,MI Analyst,"1,087",77,"£43,750",13.06%,20 (0.013%),NA
4654,NA,Performance Test Analyst,"1,087",94,"£50,000",-4.76%,20 (0.013%),1
4655,NA,SAP Administrator,"1,087",75,"£49,000",-10.90%,20 (0.013%),8
4656,NA,Data Quality Manager,"1,087",63,"£47,500",-36.66%,20 (0.013%),2
4657,NA,PC Engineer,"1,087",76,"£35,000",48.93%,20 (0.013%),2
4658,NA,SAP BI Analyst,"1,087",65,"£57,500",15.00%,20 (0.013%),NA
4659,NA,Senior Voice Engineer,"1,087",92,"£52,500",-12.50%,20 (0.013%),2
4660,NA,Data Integration Developer,"1,087",86,"£60,000",58.54%,20 (0.013%),7
4661,NA,SEO Manager,"1,087",36,"£35,500",-5.33%,20 (0.013%),7
4662,NA,Senior IT Technician,"1,087",60,"£32,000",-6.56%,20 (0.013%),11
4663,NA,Performance Test Leader,"1,087",77,"£57,500",15.00%,20 (0.013%),1
4664,NA,Infrastructure Support Manager,"1,087",75,"£50,000",20.48%,20 (0.013%),1
4665,NA,Oracle Solutions Architect,"1,087",58,"£100,000",25.00%,20 (0.013%),1
4666,NA,Unix Developer,"1,087",52,"£70,000",7.69%,20 (0.013%),5
4667,NA,Senior Operations Analyst,"1,087",77,"£42,500",-15.00%,20 (0.013%),NA
4668,NA,Commercial Analyst,"1,087",35,"£42,500",-,20 (0.013%),7
4669,NA,Lead Embedded Software Engineer,"1,087",100,"£50,000",-28.57%,20 (0.013%),2
4670,NA,Incident and Problem Manager,"1,087",62,"£45,500",-17.27%,20 (0.013%),1
4671,NA,Hadoop Administrator,"1,087",93,"£85,000",36.00%,20 (0.013%),1
4672,NA,DevOps Specialist,"1,087",61,"£75,000",20.00%,20 (0.013%),10
4673,NA,Market Data Developer,"1,087",76,"£90,000",9.09%,20 (0.013%),1
4674,NA,SAP SCM Architect,"1,087",84,"£95,000",-12.64%,20 (0.013%),2
4675,NA,UX Analyst,"1,087",67,"£45,000",-30.76%,20 (0.013%),4
4676,NA,Senior E-Commerce Manager,"1,087",81,"£85,000",21.42%,20 (0.013%),3
4677,NA,Azure Administrator,"1,087",76,"£43,750",-25.53%,20 (0.013%),1
4678,NA,.NET Web Applications Developer,"1,087",20,"£41,500",18.57%,20 (0.013%),9
4679,NA,Infrastructure Design Engineer,"1,087",90,"£55,000",-10.20%,20 (0.013%),14
4680,NA,Digital Programme Manager,"1,087",65,"£60,000",-20.00%,20 (0.013%),4
4681,NA,C/C++ Software Developer,"1,087",38,"£50,000",8.10%,20 (0.013%),7
4682,NA,Junior Technical Project Manager,"1,087",93,"£35,000",7.69%,20 (0.013%),NA
4683,NA,E-Business Developer,"1,087",94,"£52,500",31.25%,20 (0.013%),2
4684,NA,SAP Financial Consultant,"1,087",53,"£60,000",14.28%,20 (0.013%),3
4685,NA,Messaging Support,"1,087",89,"£42,500",15.64%,20 (0.013%),NA
4686,NA,Retail Banking Project Manager,"1,087",66,"£57,500",-0.86%,20 (0.013%),1
4687,NA,Graduate Management Consultant,"1,087",78,"£30,000",9.09%,20 (0.013%),NA
4688,NA,Web Automation Tester,"1,087",77,"£37,500",-,20 (0.013%),5
4689,NA,Digital Analytics Analyst,"1,087",87,"£47,500",11.76%,20 (0.013%),4
4690,NA,Technology Risk Manager,"1,087",49,"£75,000",15.38%,20 (0.013%),12
4691,NA,Active Directory Expert,"1,087",-,"£70,000",-,20 (0.013%),1
4692,NA,Big Data Software Engineer,"1,087",56,"£63,750",13.33%,20 (0.013%),7
4693,NA,Proprietary Trading Developer,"1,087",95,"£45,000",-59.09%,20 (0.013%),NA
4694,NA,Windows Build Engineer,"1,087",96,"£48,750",74.10%,20 (0.013%),1
4695,NA,Fibre Engineer,"1,087",86,"£35,000",-24.32%,20 (0.013%),2
4696,NA,Open Workbench,"1,088",91,"£52,500",56.71%,19 (0.013%),1
4697,NA,Weka,"1,088",66,"£72,500",-9.37%,19 (0.013%),2
4698,NA,Novell,"1,088",95,"£60,000",90.47%,19 (0.013%),9
4699,NA,Wonderware,"1,088",92,"£45,000",28.57%,19 (0.013%),4
4700,NA,Panasonic,"1,088",74,"£32,500",3.17%,19 (0.013%),10
4701,NA,Atmel,"1,088",75,"£41,500",-12.63%,19 (0.013%),9
4702,NA,EnterpriseDB,"1,088",47,"£57,500",-4.16%,19 (0.013%),3
4703,NA,Tufin,"1,088",63,"£60,000",-4.00%,19 (0.013%),4
4704,NA,ClickTale,"1,088",-,"£30,000",-,19 (0.013%),NA
4705,NA,Freescale,"1,088",91,"£30,000",-25.00%,19 (0.013%),7
4706,NA,Aerohive Networks,"1,088",66,"£45,250",6.47%,19 (0.013%),7
4707,NA,Ciena,"1,088",97,"£46,000",25.17%,19 (0.013%),4
4708,NA,Ensighten,"1,088",96,"£51,000",7.36%,19 (0.013%),3
4709,NA,Mapbox,"1,088",89,"£52,500",-8.69%,19 (0.013%),11
4710,NA,FileMaker,"1,088",91,"£32,000",16.36%,19 (0.013%),11
4711,NA,Sybase ASE,"1,088",48,"£52,500",-25.00%,19 (0.013%),4
4712,NA,VoltDB,"1,088",94,"£80,000",25.49%,19 (0.013%),2
4713,NA,Presto,"1,088",54,"£90,000",60.00%,19 (0.013%),7
4714,NA,CockroachDB,"1,088",85,"£70,000",7.69%,19 (0.013%),3
4715,NA,P3M3,"1,088",98,"£82,253",-,19 (0.013%),1
4716,NA,Feature Driven Development,"1,088",42,"£60,000",-7.69%,19 (0.013%),8
4717,NA,Bug Management,"1,088",82,"£37,500",-11.76%,19 (0.013%),4
4718,NA,Market Segmentation,"1,088",83,"£40,750",35.83%,19 (0.013%),7
4719,NA,Adaptive Security,"1,088",84,"£70,000",40.00%,19 (0.013%),NA
4720,NA,Web SSO,"1,088",76,"£70,000",-,19 (0.013%),7
4721,NA,Dialogue System,"1,088",98,"£80,000",56.09%,19 (0.013%),NA
4722,NA,SAS Macro,"1,088",51,"£56,250",17.18%,19 (0.013%),11
4723,NA,JSX,"1,088",88,"£90,000",16.12%,19 (0.013%),3
4724,NA,Cypher,"1,088",96,"£55,000",-31.25%,19 (0.013%),7
4725,NA,ML,"1,088",98,"£67,500",-28.94%,19 (0.013%),5
4726,NA,Cisco IPT,"1,088",52,"£62,500",4.16%,19 (0.013%),9
4727,NA,IOS XR,"1,088",80,"£55,000",15.78%,19 (0.013%),6
4728,NA,NCDA,"1,088",80,"£37,500",-11.76%,19 (0.013%),7
4729,NA,DO-254,"1,088",82,"£55,000",10.00%,19 (0.013%),14
4730,NA,J2ME,"1,088",92,"£52,500",5.00%,19 (0.013%),5
4731,NA,DWR,"1,088",93,"£120,000",110.52%,19 (0.013%),NA
4732,NA,QML,"1,088",80,"£47,500",5.55%,19 (0.013%),5
4733,NA,Apache Felix,"1,088",99,"£67,500",-10.00%,19 (0.013%),4
4734,NA,Pyramid,"1,088",24,"£51,250",-10.86%,19 (0.013%),8
4735,NA,Marionette.js,"1,088",12,"£35,000",-17.64%,19 (0.013%),2
4736,NA,Thymeleaf,"1,088",88,"£50,000",25.00%,19 (0.013%),1
4737,NA,Web Components,"1,088",38,"£55,000",37.50%,19 (0.013%),5
4738,NA,Apollo GraphQL,"1,088",91,"£62,500",8.69%,19 (0.013%),13
4739,NA,ReactiveCocoa,"1,088",89,"£70,000",-22.22%,19 (0.013%),1
4740,NA,FileNet,"1,088",90,"£68,750",25.00%,19 (0.013%),1
4741,NA,concrete5,"1,088",92,"£45,000",24.13%,19 (0.013%),4
4742,NA,AppScan,"1,088",71,"£65,000",-13.33%,19 (0.013%),5
4743,NA,CppUnit,"1,088",90,"£40,000",-28.88%,19 (0.013%),3
4744,NA,GDB,"1,088",36,"£53,750",-2.27%,19 (0.013%),8
4745,NA,Selenium IDE,"1,088",57,"£50,000",33.33%,19 (0.013%),8
4746,NA,tSQLt,"1,088",85,"£55,000",-,19 (0.013%),2
4747,NA,Biotechnology,"1,088",81,"£90,000",38.46%,19 (0.013%),19
4748,NA,3D Printing,"1,088",79,"£25,383",-53.84%,19 (0.013%),23
4749,NA,FlexPod,"1,088",70,"£37,500",-49.83%,19 (0.013%),2
4750,NA,HP StoreVirtual,"1,088",54,"£38,500",-26.66%,19 (0.013%),4
4751,NA,LongView,"1,088",95,"£62,500",38.88%,19 (0.013%),NA
4752,NA,SAP MDM,"1,088",70,"£53,750",13.15%,19 (0.013%),2
4753,NA,Misys Midas,"1,088",-,"£62,500",-,19 (0.013%),1
4754,NA,Cognos Planning,"1,088",78,"£48,750",-7.14%,19 (0.013%),NA
4755,NA,Oracle Internet Expenses,"1,088",79,"£47,500",-3.06%,19 (0.013%),2
4756,NA,Oracle Subledger Accounting,"1,088",73,"£65,000",1.96%,19 (0.013%),6
4757,NA,Citrix Presentation Server,"1,088",79,"£50,000",51.51%,19 (0.013%),2
4758,NA,Ceph,"1,088",9,"£62,500",4.16%,19 (0.013%),7
4759,NA,GlusterFS,"1,088",84,"£66,500",26.66%,19 (0.013%),1
4760,NA,SAP CRM Consultant,"1,088",45,"£70,000",27.27%,19 (0.013%),1
